,Unnamed: 0,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_S,rB_S
440,440,RbMnI3,0.0,"['Rb', 'Mn', 'I']",Rb,Mn,I,1.72,0.83,2.2,1,2,-1,0.82,1.55,2.66,2.072289156626506,0.3772727272727272,0.7818181818181817,-1.8400000000000003,-1.11,-2.62,-1.89,1.78,1.485
444,444,TlCrF3,1.0,"['Tl', 'Cr', 'F']",Tl,Cr,F,1.7,0.8,1.33,1,2,-1,1.62,1.66,3.98,2.125,0.6015037593984962,1.2781954887218043,-2.36,-2.3200000000000003,-1.82,-1.78,1.7,0.8
445,445,CaZrS3,1.0,"['Ca', 'Zr', 'S']",Ca,Zr,S,1.34,0.72,1.84,2,4,-2,1.0,1.33,2.58,1.8611111111111116,0.3913043478260869,0.7282608695652174,-1.58,-1.25,-2.44,-2.11,1.56,0.85
446,446,CsBeF3,1.0,"['Cs', 'Be', 'F']",Cs,Be,F,1.88,0.45,1.33,1,2,-1,0.79,1.57,3.98,4.177777777777777,0.3383458646616541,1.413533834586466,-3.19,-2.41,-2.65,-1.87,1.88,0.45
449,449,KCoF3,1.0,"['K', 'Co', 'F']",K,Co,F,1.64,0.745,1.33,1,2,-1,0.82,1.88,3.98,2.2013422818791946,0.5601503759398496,1.2330827067669172,-3.16,-2.1,-2.62,-1.56,1.64,0.745
450,450,SrZrS3,1.0,"['Sr', 'Zr', 'S']",Sr,Zr,S,1.44,0.72,1.84,2,4,-2,0.95,1.33,2.58,2.0,0.3913043478260869,0.7826086956521738,-1.63,-1.25,-2.49,-2.11,1.68,0.85
451,451,RbBeF3,0.0,"['Rb', 'Be', 'F']",Rb,Be,F,1.72,0.45,1.33,1,2,-1,0.82,1.57,3.98,3.822222222222222,0.3383458646616541,1.2932330827067668,-3.16,-2.41,-2.62,-1.87,1.72,0.45
452,452,CsPbF3,1.0,"['Cs', 'Pb', 'F']",Cs,Pb,F,1.88,1.19,1.33,1,2,-1,0.79,2.33,3.98,1.5798319327731092,0.894736842105263,1.413533834586466,-3.19,-1.65,-2.65,-1.11,1.88,1.19
455,455,CsMnCl3,1.0,"['Cs', 'Mn', 'Cl']",Cs,Mn,Cl,1.88,0.83,1.81,1,2,-1,0.79,1.55,3.16,2.265060240963856,0.4585635359116021,1.0386740331491713,-2.37,-1.61,-2.65,-1.89,1.88,0.83
456,456,RbCrF3,1.0,"['Rb', 'Cr', 'F']",Rb,Cr,F,1.72,0.8,1.33,1,2,-1,0.82,1.66,3.98,2.15,0.6015037593984962,1.2932330827067668,-3.16,-2.3200000000000003,-2.62,-1.78,1.72,0.8
465,465,SnNbS3,0.0,"['Sn', 'Nb', 'S']",Sn,Nb,S,1.15,0.68,1.84,2,4,-2,1.96,1.6,2.58,1.691176470588235,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-0.98,-1.48,-1.84,1.607,0.77
466,466,CsMnBr3,0.0,"['Cs', 'Mn', 'Br']",Cs,Mn,Br,1.88,0.83,1.96,1,2,-1,0.79,1.55,2.96,2.265060240963856,0.423469387755102,0.9591836734693876,-2.17,-1.41,-2.65,-1.89,2.135,1.485
472,472,PrYbS3,0.0,"['Pr', 'Yb', 'S']",Pr,Yb,S,1.179,0.868,1.84,3,3,-2,1.13,1.1,2.58,1.358294930875576,0.4717391304347826,0.6407608695652174,-1.4500000000000002,-1.48,-2.31,-2.34,1.56,1.02
475,475,TlCdCl3,1.0,"['Tl', 'Cd', 'Cl']",Tl,Cd,Cl,1.7,0.95,1.81,1,2,-1,1.62,1.69,3.16,1.7894736842105263,0.5248618784530387,0.9392265193370164,-1.54,-1.4700000000000002,-1.82,-1.75,1.7,0.95
476,476,KSmCl3,0.0,"['K', 'Sm', 'Cl']",K,Sm,Cl,1.64,1.22,1.81,1,2,-1,0.82,1.17,3.16,1.3442622950819672,0.6740331491712707,0.9060773480662982,-2.3400000000000003,-1.99,-2.62,-2.27,1.64,1.22
479,479,LiBeCl3,0.0,"['Li', 'Be', 'Cl']",Li,Be,Cl,0.92,0.45,1.81,1,2,-1,0.98,1.57,3.16,2.0444444444444443,0.2486187845303867,0.5082872928176796,-2.18,-1.59,-2.46,-1.87,0.92,0.45
480,480,CeLuS3,0.0,"['Ce', 'Lu', 'S']",Ce,Lu,S,1.34,0.861,1.84,3,3,-2,1.12,1.27,2.58,1.556329849012776,0.4679347826086956,0.7282608695652174,-1.46,-1.31,-2.32,-2.17,1.602,0.99
483,483,SrHfS3,1.0,"['Sr', 'Hf', 'S']",Sr,Hf,S,1.44,0.71,1.84,2,4,-2,0.95,1.3,2.58,2.028169014084507,0.3858695652173912,0.7826086956521738,-1.63,-1.28,-2.49,-2.14,1.68,0.85
484,484,SmYbSe3,0.0,"['Sm', 'Yb', 'Se']",Sm,Yb,Se,1.24,0.868,1.98,3,3,-2,1.17,1.1,2.55,1.4285714285714286,0.4383838383838384,0.6262626262626263,-1.38,-1.4499999999999995,-2.27,-2.34,1.64,1.02
489,489,KCoI3,0.0,"['K', 'Co', 'I']",K,Co,I,1.64,0.745,2.2,1,2,-1,0.82,1.88,2.66,2.2013422818791946,0.3386363636363636,0.7454545454545454,-1.8400000000000003,-0.7800000000000002,-2.62,-1.56,1.85,0.745
490,490,RbFeF3,1.0,"['Rb', 'Fe', 'F']",Rb,Fe,F,1.72,0.78,1.33,1,2,-1,0.82,1.83,3.98,2.205128205128205,0.5864661654135338,1.2932330827067668,-3.16,-2.15,-2.62,-1.61,1.72,0.78
491,491,KNiF3,1.0,"['K', 'Ni', 'F']",K,Ni,F,1.64,0.69,1.33,1,2,-1,0.82,1.91,3.98,2.3768115942028984,0.5187969924812029,1.2330827067669172,-3.16,-2.0700000000000003,-2.62,-1.53,1.64,0.69
493,493,NdLuS3,0.0,"['Nd', 'Lu', 'S']",Nd,Lu,S,1.27,0.861,1.84,3,3,-2,1.14,1.27,2.58,1.475029036004646,0.4679347826086956,0.6902173913043478,-1.4400000000000002,-1.31,-2.3,-2.17,1.587,0.99
494,494,BaTaS3,0.0,"['Ba', 'Ta', 'S']",Ba,Ta,S,1.61,0.68,1.84,2,4,-2,0.89,1.5,2.58,2.367647058823529,0.3695652173913044,0.875,-1.69,-1.08,-2.55,-1.94,1.73,0.75
496,496,KVF3,1.0,"['K', 'V', 'F']",K,V,F,1.64,0.79,1.33,1,2,-1,0.82,1.63,3.98,2.075949367088608,0.5939849624060151,1.2330827067669172,-3.16,-2.35,-2.62,-1.81,1.64,0.79
497,497,BaTiSe3,0.0,"['Ba', 'Ti', 'Se']",Ba,Ti,Se,1.61,0.605,1.98,2,4,-2,0.89,1.54,2.55,2.6611570247933884,0.3055555555555555,0.8131313131313131,-1.6599999999999997,-1.0099999999999998,-2.55,-1.9,1.73,0.73
498,498,KNiCl3,0.0,"['K', 'Ni', 'Cl']",K,Ni,Cl,1.64,0.69,1.81,1,2,-1,0.82,1.91,3.16,2.3768115942028984,0.3812154696132596,0.9060773480662982,-2.3400000000000003,-1.2500000000000002,-2.62,-1.53,1.64,0.69
499,499,PbNaCl3,0.0,"['Pb', 'Na', 'Cl']",Pb,Na,Cl,1.49,1.02,1.81,2,1,-1,2.33,0.93,3.16,1.46078431372549,0.56353591160221,0.8232044198895028,-0.8300000000000001,-2.23,-1.11,-2.51,1.49,1.02
502,502,NaVF3,1.0,"['Na', 'V', 'F']",Na,V,F,1.39,0.79,1.33,1,2,-1,0.93,1.63,3.98,1.7594936708860758,0.5939849624060151,1.045112781954887,-3.05,-2.35,-2.51,-1.81,1.39,0.79
511,511,SnVS3,0.0,"['Sn', 'V', 'S']",Sn,V,S,1.15,0.58,1.84,2,4,-2,1.96,1.63,2.58,1.9827586206896552,0.3152173913043478,0.6249999999999999,-0.6200000000000001,-0.9500000000000002,-1.48,-1.81,1.607,0.66
512,512,SnTaS3,0.0,"['Sn', 'Ta', 'S']",Sn,Ta,S,1.15,0.68,1.84,2,4,-2,1.96,1.5,2.58,1.691176470588235,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-1.08,-1.48,-1.94,1.607,0.75
515,515,KCoBr3,0.0,"['K', 'Co', 'Br']",K,Co,Br,1.64,0.745,1.96,1,2,-1,0.82,1.88,2.96,2.2013422818791946,0.3801020408163265,0.836734693877551,-2.14,-1.08,-2.62,-1.56,1.85,0.745
520,520,RbCoF3,1.0,"['Rb', 'Co', 'F']",Rb,Co,F,1.72,0.745,1.33,1,2,-1,0.82,1.88,3.98,2.308724832214765,0.5601503759398496,1.2932330827067668,-3.16,-2.1,-2.62,-1.56,1.72,0.745
522,522,HoScS3,1.0,"['Ho', 'Sc', 'S']",Ho,Sc,S,1.12,0.745,1.84,3,3,-2,1.23,1.36,2.58,1.5033557046979866,0.404891304347826,0.6086956521739131,-1.35,-1.22,-2.21,-2.08,1.04,0.87
523,523,RbTmI3,1.0,"['Rb', 'Tm', 'I']",Rb,Tm,I,1.72,1.03,2.2,1,2,-1,0.82,1.25,2.66,1.6699029126213591,0.4681818181818181,0.7818181818181817,-1.8400000000000003,-1.41,-2.62,-2.19,1.78,1.0
524,524,BaVS3,0.0,"['Ba', 'V', 'S']",Ba,V,S,1.61,0.58,1.84,2,4,-2,0.89,1.63,2.58,2.775862068965518,0.3152173913043478,0.875,-1.69,-0.9500000000000002,-2.55,-1.81,1.73,0.66
525,525,LiNiCl3,0.0,"['Li', 'Ni', 'Cl']",Li,Ni,Cl,0.92,0.69,1.81,1,2,-1,0.98,1.91,3.16,1.3333333333333337,0.3812154696132596,0.5082872928176796,-2.18,-1.2500000000000002,-2.46,-1.53,0.92,0.69
526,526,YScS3,1.0,"['Y', 'Sc', 'S']",Y,Sc,S,1.075,0.745,1.84,3,3,-2,1.22,1.36,2.58,1.4429530201342282,0.404891304347826,0.5842391304347826,-1.36,-1.22,-2.22,-2.08,1.46,0.87
527,527,RbCaCl3,1.0,"['Rb', 'Ca', 'Cl']",Rb,Ca,Cl,1.72,1.0,1.81,1,2,-1,0.82,1.0,3.16,1.72,0.5524861878453039,0.9502762430939226,-2.3400000000000003,-2.16,-2.62,-2.44,1.72,1.0
529,529,SrSnS3,0.0,"['Sr', 'Sn', 'S']",Sr,Sn,S,1.44,0.69,1.84,2,4,-2,0.95,1.96,2.58,2.0869565217391304,0.3749999999999999,0.7826086956521738,-1.63,-0.6200000000000001,-2.49,-1.48,1.68,0.86
531,531,NaFeF3,1.0,"['Na', 'Fe', 'F']",Na,Fe,F,1.39,0.78,1.33,1,2,-1,0.93,1.83,3.98,1.782051282051282,0.5864661654135338,1.045112781954887,-3.05,-2.15,-2.51,-1.61,1.39,0.78
533,533,CsMgCl3,0.0,"['Cs', 'Mg', 'Cl']",Cs,Mg,Cl,1.88,0.72,1.81,1,2,-1,0.79,1.31,3.16,2.611111111111111,0.3977900552486187,1.0386740331491713,-2.37,-1.85,-2.65,-2.13,1.88,0.72
535,535,NaCdCl3,0.0,"['Na', 'Cd', 'Cl']",Na,Cd,Cl,1.39,0.95,1.81,1,2,-1,0.93,1.69,3.16,1.463157894736842,0.5248618784530387,0.7679558011049723,-2.23,-1.4700000000000002,-2.51,-1.75,1.39,0.95
539,539,NaZnCl3,0.0,"['Na', 'Zn', 'Cl']",Na,Zn,Cl,1.39,0.74,1.81,1,2,-1,0.93,1.65,3.16,1.8783783783783785,0.4088397790055249,0.7679558011049723,-2.23,-1.5100000000000002,-2.51,-1.79,1.39,0.74
541,541,RbDyI3,1.0,"['Rb', 'Dy', 'I']",Rb,Dy,I,1.72,1.07,2.2,1,2,-1,0.82,1.22,2.66,1.6074766355140186,0.4863636363636363,0.7818181818181817,-1.8400000000000003,-1.4400000000000002,-2.62,-2.22,1.78,1.03
544,544,CsNiI3,0.0,"['Cs', 'Ni', 'I']",Cs,Ni,I,1.88,0.69,2.2,1,2,-1,0.79,1.91,2.66,2.7246376811594204,0.3136363636363636,0.8545454545454544,-1.87,-0.7500000000000002,-2.65,-1.53,2.135,0.69
550,550,NaCaF3,0.0,"['Na', 'Ca', 'F']",Na,Ca,F,1.39,1.0,1.33,1,2,-1,0.93,1.0,3.98,1.39,0.7518796992481203,1.045112781954887,-3.05,-2.98,-2.51,-2.44,1.39,1.0
551,551,TlMnI3,0.0,"['Tl', 'Mn', 'I']",Tl,Mn,I,1.7,0.83,2.2,1,2,-1,1.62,1.55,2.66,2.048192771084337,0.3772727272727272,0.7727272727272726,-1.04,-1.11,-1.82,-1.89,2.17,1.485
555,555,KFeCl3,1.0,"['K', 'Fe', 'Cl']",K,Fe,Cl,1.64,0.78,1.81,1,2,-1,0.82,1.83,3.16,2.102564102564102,0.430939226519337,0.9060773480662982,-2.3400000000000003,-1.33,-2.62,-1.61,1.64,0.78
556,556,CeTmS3,0.0,"['Ce', 'Tm', 'S']",Ce,Tm,S,1.34,0.88,1.84,3,3,-2,1.12,1.25,2.58,1.5227272727272727,0.4782608695652173,0.7282608695652174,-1.46,-1.33,-2.32,-2.19,1.602,1.0
559,559,TlCuF3,1.0,"['Tl', 'Cu', 'F']",Tl,Cu,F,1.7,0.73,1.33,1,2,-1,1.62,1.9,3.98,2.328767123287671,0.5488721804511277,1.2781954887218043,-2.36,-2.08,-1.82,-1.54,1.7,0.73
560,560,CsSnBr3,1.0,"['Cs', 'Sn', 'Br']",Cs,Sn,Br,1.88,1.15,1.96,1,2,-1,0.79,1.96,2.96,1.6347826086956525,0.586734693877551,0.9591836734693876,-2.17,-1.0,-2.65,-1.48,2.135,0.86
561,561,KCaCl3,1.0,"['K', 'Ca', 'Cl']",K,Ca,Cl,1.64,1.0,1.81,1,2,-1,0.82,1.0,3.16,1.64,0.5524861878453039,0.9060773480662982,-2.3400000000000003,-2.16,-2.62,-2.44,1.64,1.0
562,562,PbSnS3,0.0,"['Pb', 'Sn', 'S']",Pb,Sn,S,1.49,0.69,1.84,2,4,-2,2.33,1.96,2.58,2.1594202898550727,0.3749999999999999,0.8097826086956521,-0.25,-0.6200000000000001,-1.11,-1.48,1.717,0.86
564,564,VLiCl3,0.0,"['V', 'Li', 'Cl']",V,Li,Cl,0.79,0.76,1.81,2,1,-1,1.63,0.98,3.16,1.0394736842105263,0.4198895027624309,0.43646408839779,-1.5300000000000002,-2.18,-1.81,-2.46,0.79,0.76
567,567,SrTiSe3,0.0,"['Sr', 'Ti', 'Se']",Sr,Ti,Se,1.44,0.605,1.98,2,4,-2,0.95,1.54,2.55,2.3801652892561984,0.3055555555555555,0.7272727272727273,-1.6,-1.0099999999999998,-2.49,-1.9,1.68,0.73
569,569,CaLiBr3,0.0,"['Ca', 'Li', 'Br']",Ca,Li,Br,1.34,0.76,1.96,2,1,-1,1.0,0.98,2.96,1.7631578947368425,0.3877551020408163,0.6836734693877552,-1.96,-1.98,-2.44,-2.46,1.56,0.76
570,570,CsCaCl3,1.0,"['Cs', 'Ca', 'Cl']",Cs,Ca,Cl,1.88,1.0,1.81,1,2,-1,0.79,1.0,3.16,1.88,0.5524861878453039,1.0386740331491713,-2.37,-2.16,-2.65,-2.44,1.88,1.0
572,572,CsCoCl3,0.0,"['Cs', 'Co', 'Cl']",Cs,Co,Cl,1.88,0.745,1.81,1,2,-1,0.79,1.88,3.16,2.523489932885906,0.4116022099447514,1.0386740331491713,-2.37,-1.2800000000000002,-2.65,-1.56,1.88,0.745
576,576,CeYbS3,0.0,"['Ce', 'Yb', 'S']",Ce,Yb,S,1.34,0.868,1.84,3,3,-2,1.12,1.1,2.58,1.543778801843318,0.4717391304347826,0.7282608695652174,-1.46,-1.48,-2.32,-2.34,1.602,1.02
578,578,AgMnF3,1.0,"['Ag', 'Mn', 'F']",Ag,Mn,F,1.28,0.83,1.33,1,2,-1,1.93,1.55,3.98,1.5421686746987953,0.6240601503759398,0.962406015037594,-2.05,-2.43,-1.51,-1.89,1.28,0.83
581,581,CsCaF3,1.0,"['Cs', 'Ca', 'F']",Cs,Ca,F,1.88,1.0,1.33,1,2,-1,0.79,1.0,3.98,1.88,0.7518796992481203,1.413533834586466,-3.19,-2.98,-2.65,-2.44,1.88,1.0
583,583,CsYbI3,1.0,"['Cs', 'Yb', 'I']",Cs,Yb,I,1.88,1.02,2.2,1,2,-1,0.79,1.1,2.66,1.843137254901961,0.4636363636363636,0.8545454545454544,-1.87,-1.56,-2.65,-2.34,2.135,1.02
585,585,CsDyI3,1.0,"['Cs', 'Dy', 'I']",Cs,Dy,I,1.88,1.07,2.2,1,2,-1,0.79,1.22,2.66,1.7570093457943925,0.4863636363636363,0.8545454545454544,-1.87,-1.4400000000000002,-2.65,-2.22,2.135,1.03
586,586,LaYbS3,1.0,"['La', 'Yb', 'S']",La,Yb,S,1.36,0.868,1.84,3,3,-2,1.1,1.1,2.58,1.566820276497696,0.4717391304347826,0.7391304347826088,-1.48,-1.48,-2.34,-2.34,1.5,1.02
588,588,TlFeF3,1.0,"['Tl', 'Fe', 'F']",Tl,Fe,F,1.7,0.78,1.33,1,2,-1,1.62,1.83,3.98,2.1794871794871797,0.5864661654135338,1.2781954887218043,-2.36,-2.15,-1.82,-1.61,1.7,0.78
590,590,CsSrI3,0.0,"['Cs', 'Sr', 'I']",Cs,Sr,I,1.88,1.18,2.2,1,2,-1,0.79,0.95,2.66,1.5932203389830508,0.5363636363636363,0.8545454545454544,-1.87,-1.7100000000000002,-2.65,-2.49,2.135,1.68
592,592,CeScS3,1.0,"['Ce', 'Sc', 'S']",Ce,Sc,S,1.34,0.745,1.84,3,3,-2,1.12,1.36,2.58,1.7986577181208054,0.404891304347826,0.7282608695652174,-1.46,-1.22,-2.32,-2.08,1.602,0.87
593,593,KMnCl3,1.0,"['K', 'Mn', 'Cl']",K,Mn,Cl,1.64,0.83,1.81,1,2,-1,0.82,1.55,3.16,1.9759036144578312,0.4585635359116021,0.9060773480662982,-2.3400000000000003,-1.61,-2.62,-1.89,1.64,0.83
594,594,BaHfS3,1.0,"['Ba', 'Hf', 'S']",Ba,Hf,S,1.61,0.71,1.84,2,4,-2,0.89,1.3,2.58,2.267605633802817,0.3858695652173912,0.875,-1.69,-1.28,-2.55,-2.14,1.73,0.85
595,595,SrTiS3,0.0,"['Sr', 'Ti', 'S']",Sr,Ti,S,1.44,0.605,1.84,2,4,-2,0.95,1.54,2.58,2.3801652892561984,0.3288043478260869,0.7826086956521738,-1.63,-1.04,-2.49,-1.9,1.68,0.73
597,597,CdCuCl3,0.0,"['Cd', 'Cu', 'Cl']",Cd,Cu,Cl,1.31,0.77,1.81,2,1,-1,1.69,1.9,3.16,1.7012987012987013,0.425414364640884,0.7237569060773481,-1.4700000000000002,-1.2600000000000002,-1.75,-1.54,1.31,0.77
599,599,LaScS3,1.0,"['La', 'Sc', 'S']",La,Sc,S,1.36,0.745,1.84,3,3,-2,1.1,1.36,2.58,1.8255033557046985,0.404891304347826,0.7391304347826088,-1.48,-1.22,-2.34,-2.08,1.5,0.87
600,600,CsVCl3,0.0,"['Cs', 'V', 'Cl']",Cs,V,Cl,1.88,0.79,1.81,1,2,-1,0.79,1.63,3.16,2.3797468354430378,0.43646408839779,1.0386740331491713,-2.37,-1.5300000000000002,-2.65,-1.81,1.88,0.79
601,601,KBaF3,0.0,"['K', 'Ba', 'F']",K,Ba,F,1.64,1.35,1.33,1,2,-1,0.82,0.89,3.98,1.2148148148148146,1.0150375939849623,1.2330827067669172,-3.16,-3.09,-2.62,-2.55,1.64,1.35
602,602,PbNbS3,0.0,"['Pb', 'Nb', 'S']",Pb,Nb,S,1.49,0.68,1.84,2,4,-2,2.33,1.6,2.58,2.191176470588235,0.3695652173913044,0.8097826086956521,-0.25,-0.98,-1.11,-1.84,1.717,0.77
605,605,PbTiS3,0.0,"['Pb', 'Ti', 'S']",Pb,Ti,S,1.49,0.605,1.84,2,4,-2,2.33,1.54,2.58,2.462809917355372,0.3288043478260869,0.8097826086956521,-0.25,-1.04,-1.11,-1.9,1.717,0.73
609,609,TlGeI3,0.0,"['Tl', 'Ge', 'I']",Tl,Ge,I,1.7,0.73,2.2,1,2,-1,1.62,2.01,2.66,2.328767123287671,0.3318181818181818,0.7727272727272726,-1.04,-0.6500000000000004,-1.82,-1.4300000000000002,2.17,0.616
611,611,CsSrCl3,1.0,"['Cs', 'Sr', 'Cl']",Cs,Sr,Cl,1.88,1.18,1.81,1,2,-1,0.79,0.95,3.16,1.5932203389830508,0.6519337016574586,1.0386740331491713,-2.37,-2.21,-2.65,-2.49,1.88,1.18
613,613,CsPbI3,1.0,"['Cs', 'Pb', 'I']",Cs,Pb,I,1.88,1.19,2.2,1,2,-1,0.79,2.33,2.66,1.5798319327731092,0.5409090909090909,0.8545454545454544,-1.87,-0.33,-2.65,-1.11,2.135,1.717
615,615,CsTiI3,0.0,"['Cs', 'Ti', 'I']",Cs,Ti,I,1.88,0.86,2.2,1,2,-1,0.79,1.54,2.66,2.186046511627907,0.3909090909090909,0.8545454545454544,-1.87,-1.12,-2.65,-1.9,2.135,0.73
618,618,PbVS3,0.0,"['Pb', 'V', 'S']",Pb,V,S,1.49,0.58,1.84,2,4,-2,2.33,1.63,2.58,2.5689655172413794,0.3152173913043478,0.8097826086956521,-0.25,-0.9500000000000002,-1.11,-1.81,1.717,0.66
620,620,CaLiF3,0.0,"['Ca', 'Li', 'F']",Ca,Li,F,1.34,0.76,1.33,2,1,-1,1.0,0.98,3.98,1.7631578947368425,0.5714285714285714,1.0075187969924813,-2.98,-3.0,-2.44,-2.46,1.34,0.76
625,625,RbMnCl3,1.0,"['Rb', 'Mn', 'Cl']",Rb,Mn,Cl,1.72,0.83,1.81,1,2,-1,0.82,1.55,3.16,2.072289156626506,0.4585635359116021,0.9502762430939226,-2.3400000000000003,-1.61,-2.62,-1.89,1.72,0.83
626,626,EuZrS3,1.0,"['Eu', 'Zr', 'S']",Eu,Zr,S,1.35,0.72,1.84,2,4,-2,1.2,1.33,2.58,1.875,0.3913043478260869,0.7336956521739131,-1.38,-1.25,-2.24,-2.11,1.64,0.85
627,627,RbCdCl3,1.0,"['Rb', 'Cd', 'Cl']",Rb,Cd,Cl,1.72,0.95,1.81,1,2,-1,0.82,1.69,3.16,1.8105263157894735,0.5248618784530387,0.9502762430939226,-2.3400000000000003,-1.4700000000000002,-2.62,-1.75,1.72,0.95
628,628,EuHfS3,1.0,"['Eu', 'Hf', 'S']",Eu,Hf,S,1.35,0.71,1.84,2,4,-2,1.2,1.3,2.58,1.9014084507042253,0.3858695652173912,0.7336956521739131,-1.38,-1.28,-2.24,-2.14,1.64,0.85
629,629,MnLiF3,0.0,"['Mn', 'Li', 'F']",Mn,Li,F,0.96,0.76,1.33,2,1,-1,1.55,0.98,3.98,1.263157894736842,0.5714285714285714,0.7218045112781954,-2.43,-3.0,-1.89,-2.46,0.96,0.76
632,632,CsCrCl3,0.0,"['Cs', 'Cr', 'Cl']",Cs,Cr,Cl,1.88,0.8,1.81,1,2,-1,0.79,1.66,3.16,2.35,0.4419889502762431,1.0386740331491713,-2.37,-1.5000000000000002,-2.65,-1.78,1.88,0.8
633,633,RbPbI3,0.0,"['Rb', 'Pb', 'I']",Rb,Pb,I,1.72,1.19,2.2,1,2,-1,0.82,2.33,2.66,1.4453781512605042,0.5409090909090909,0.7818181818181817,-1.8400000000000003,-0.33,-2.62,-1.11,1.78,1.717
636,636,CsPbBr3,1.0,"['Cs', 'Pb', 'Br']",Cs,Pb,Br,1.88,1.19,1.96,1,2,-1,0.79,2.33,2.96,1.5798319327731092,0.6071428571428571,0.9591836734693876,-2.17,-0.6299999999999999,-2.65,-1.11,2.135,1.717
638,638,RbPbF3,1.0,"['Rb', 'Pb', 'F']",Rb,Pb,F,1.72,1.19,1.33,1,2,-1,0.82,2.33,3.98,1.4453781512605042,0.894736842105263,1.2932330827067668,-3.16,-1.65,-2.62,-1.11,1.72,1.19
643,643,NaCdBr3,0.0,"['Na', 'Cd', 'Br']",Na,Cd,Br,1.39,0.95,1.96,1,2,-1,0.93,1.69,2.96,1.463157894736842,0.4846938775510204,0.7091836734693877,-2.03,-1.27,-2.51,-1.75,1.51,1.56
648,648,PrLuSe3,0.0,"['Pr', 'Lu', 'Se']",Pr,Lu,Se,1.179,0.861,1.98,3,3,-2,1.13,1.27,2.55,1.3693379790940767,0.4348484848484849,0.5954545454545455,-1.42,-1.2799999999999998,-2.31,-2.17,1.56,0.99
649,649,TlZnCl3,0.0,"['Tl', 'Zn', 'Cl']",Tl,Zn,Cl,1.7,0.74,1.81,1,2,-1,1.62,1.65,3.16,2.2972972972972974,0.4088397790055249,0.9392265193370164,-1.54,-1.5100000000000002,-1.82,-1.79,1.7,0.74
650,650,CsHgCl3,1.0,"['Cs', 'Hg', 'Cl']",Cs,Hg,Cl,1.88,1.02,1.81,1,2,-1,0.79,2.0,3.16,1.843137254901961,0.56353591160221,1.0386740331491713,-2.37,-1.16,-2.65,-1.44,1.88,1.02
