Unnamed: 0,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,rA,rB,rX,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess
BaCeS3,Ba,Ce,S,2.0,4.0,-2.0,0.89,1.12,2.58,161.04,86.8,184.4,-1.69,-1.46,-2.55,-2.32,1.855299539170507,0.4707158351409978,0.8733188720173535,0.6627450980392157,0.6293103448275862,-3.22934977,-2.5303330600000007,-7.00838179000003,-2.0224315294266337,-2.5303331468620374,0.8145175879610062,0.1815487042226235,0.0869328039854952,-2.847077729734469,5.363406047114364,5.700526061695872,11.769320157021456,219.67,204.28,74.72999999999999,266.14000000000004,257.54,84.92999999999999,131.01,118.68,273.21,0.8252970835167687,0.9006769239959878,4.128181158795017,0.948529165620056
BaUS3,Ba,U,S,2.0,4.0,-2.0,0.89,1.38,2.58,161.04,88.69,184.4,-1.69,-1.2000000000000002,-2.55,-2.06,1.8157627691960765,0.4809652928416486,0.8733188720173535,0.6627450980392157,0.5825242718446603,-3.22934977,-1.9952727799999996,-7.00838179000003,-2.0224315294266337,-1.9952728484943232,0.8145175879610062,0.1815487042226235,0.546861732757815,-2.847077729734469,5.363406047114364,5.590257855882314,11.769320157021456,219.67,187.98,74.72999999999999,266.14000000000004,241.76,84.92999999999999,131.01,131.23,273.21,0.8037565617947121,0.8944435233355738,4.167150786152003,1.0176195039674725
EuUS3,Eu,U,S,2.0,4.0,-2.0,1.2,1.38,2.58,143.72,88.69,184.4,-1.38,-1.2000000000000002,-2.24,-2.06,1.6204758146352465,0.4809652928416486,0.7793926247288503,0.6160714285714286,0.5825242718446603,-2.76744646,-1.9952727799999996,-7.00838179000003,-2.7674465550017397,-1.9952728484943232,0.8145175879610062,0.4802925635161391,0.546861732757815,-2.847077729734469,6.002313428086848,5.590257855882314,11.769320157021456,31.35,187.98,74.72999999999999,267.74,241.76,84.92999999999999,114.02,131.23,273.21,0.7886681619177286,0.8495970613619397,4.793091540711075,0.8985247492707299
EuUSe3,Eu,U,Se,2.0,4.0,-2.0,1.2,1.38,2.55,143.72,88.69,198.14,-1.35,-1.17,-2.24,-2.06,1.6204758146352465,0.4476127990309882,0.7253457151509034,0.6026785714285713,0.5679611650485437,-2.76744646,-1.9952727799999996,-6.510488250000024,-2.7674465550017397,-1.9952728484943232,-0.2111875472497096,0.4802925635161391,0.546861732757815,-2.730814399751447,6.002313428086848,5.590257855882314,10.84576444731508,31.35,187.98,79.97,267.74,241.76,95.78,114.02,131.23,23.97,0.82644199943421,0.8427714434835971,4.948013177874227,0.8942870056196135
EuInS3,Eu,In,S,3.0,3.0,-2.0,1.2,1.78,2.58,122.38,79.56,184.4,-1.38,-0.8,-2.24,-1.66,1.5382101558572143,0.4314533622559653,0.6636659436008676,0.6160714285714286,0.4819277108433735,-2.76744646,-2.5178859200000034,-7.00838179000003,-2.7674465550017397,-2.517886006434747,0.8145175879610062,0.4802925635161391,-0.1678385307595446,-2.847077729734469,6.002313428086848,5.364511578154709,11.769320157021456,31.35,114.07,74.72999999999999,267.74,151.32,84.92999999999999,114.02,49.29,273.21,0.8036398501973033,0.8218168084792943,4.034007382232251,1.050568049589491
EuInSe3,Eu,In,Se,3.0,3.0,-2.0,1.2,1.78,2.55,122.38,79.56,198.14,-1.35,-0.7699999999999998,-2.24,-1.66,1.5382101558572143,0.4015342686988998,0.6176440900373473,0.6026785714285713,0.4638554216867468,-2.76744646,-2.5178859200000034,-6.510488250000024,-2.7674465550017397,-2.517886006434747,-0.2111875472497096,0.4802925635161391,-0.1678385307595446,-2.730814399751447,6.002313428086848,5.364511578154709,10.84576444731508,31.35,114.07,79.97,267.74,151.32,95.78,114.02,49.29,23.97,0.812642118951077,0.8161412906491269,4.206707231402688,1.0603969343371369
PrPbS3,Pb,Pr,S,2.0,4.0,-2.0,2.33,1.13,2.58,149.22,84.98,184.4,-0.25,-1.4500000000000002,-1.11,-2.31,1.7559425747234645,0.4608459869848156,0.8092190889370933,0.2252252252252252,0.6277056277056278,-3.496077730000001,-2.320982129999998,-7.00838179000003,-3.4960778500144083,-2.320982209675374,0.8145175879610062,-0.8830451593257576,0.1152585549847216,-2.847077729734469,6.576348032711487,5.700078313684422,11.769320157021456,103.96,201.97,74.72999999999999,140.49,271.35,84.92999999999999,56.76,117.98,273.21,0.8423194671474582,0.8757352386235387,4.407664818179315,0.3142200064026677
CePbS3,Pb,Ce,S,2.0,4.0,-2.0,2.33,1.12,2.58,149.22,86.8,184.4,-0.25,-1.46,-1.11,-2.32,1.7191244239631336,0.4707158351409978,0.8092190889370933,0.2252252252252252,0.6293103448275862,-3.496077730000001,-2.5303330600000007,-7.00838179000003,-3.4960778500144083,-2.5303331468620374,0.8145175879610062,-0.8830451593257576,0.0869328039854952,-2.847077729734469,6.576348032711487,5.700526061695872,11.769320157021456,103.96,204.28,74.72999999999999,140.49,257.54,84.92999999999999,56.76,118.68,273.21,0.821128780167819,0.86985825435254,4.470221291049585,0.3113154310283064
UPbS3,Pb,U,S,2.0,4.0,-2.0,2.33,1.38,2.58,149.22,88.69,184.4,-0.25,-1.2000000000000002,-1.11,-2.06,1.682489570413801,0.4809652928416486,0.8092190889370933,0.2252252252252252,0.5825242718446603,-3.496077730000001,-1.9952727799999996,-7.00838179000003,-3.4960778500144083,-1.9952728484943232,0.8145175879610062,-0.8830451593257576,0.546861732757815,-2.847077729734469,6.576348032711487,5.590257855882314,11.769320157021456,103.96,187.98,74.72999999999999,140.49,241.76,84.92999999999999,56.76,131.23,273.21,0.7995882584457626,0.8638381433974471,4.5468505961681895,0.3339914743616256
SrPrS3,Sr,Pr,S,2.0,4.0,-2.0,0.95,1.13,2.58,144.48,84.98,184.4,-1.63,-1.4500000000000002,-2.49,-2.31,1.7001647446457988,0.4608459869848156,0.7835140997830802,0.6546184738955824,0.6277056277056278,-3.5257832000000016,-2.320982129999998,-7.00838179000003,-1.2811882639810177,-2.320982209675374,0.8145175879610062,0.150586057166743,0.1152585549847216,-2.847077729734469,5.884929518021573,5.700078313684422,11.769320157021456,195.84,201.97,74.72999999999999,254.93,271.35,84.92999999999999,111.21,117.98,273.21,0.8332443800261069,0.8632929838694006,4.57687225473787,0.900306625720386
SrCeS3,Sr,Ce,S,2.0,4.0,-2.0,0.95,1.12,2.58,144.48,86.8,184.4,-1.63,-1.46,-2.49,-2.32,1.664516129032258,0.4707158351409978,0.7835140997830802,0.6546184738955824,0.6293103448275862,-3.5257832000000016,-2.5303330600000007,-7.00838179000003,-1.2811882639810177,-2.5303331468620374,0.8145175879610062,0.150586057166743,0.0869328039854952,-2.847077729734469,5.884929518021573,5.700526061695872,11.769320157021456,195.84,204.28,74.72999999999999,254.93,257.54,84.92999999999999,111.21,118.68,273.21,0.8120536930464677,0.8574994985056752,4.657902004601537,0.8919844043431429
SrUS3,Sr,U,S,2.0,4.0,-2.0,0.95,1.38,2.58,144.48,88.69,184.4,-1.63,-1.2000000000000002,-2.49,-2.06,1.6290449881610105,0.4809652928416486,0.7835140997830802,0.6546184738955824,0.5825242718446603,-3.5257832000000016,-1.9952727799999996,-7.00838179000003,-1.2811882639810177,-1.9952728484943232,0.8145175879610062,0.150586057166743,0.546861732757815,-2.847077729734469,5.884929518021573,5.590257855882314,11.769320157021456,195.84,187.98,74.72999999999999,254.93,241.76,84.92999999999999,111.21,131.23,273.21,0.7905131713244116,0.8515649199704826,4.755648811767744,0.9569560536401894
SrUSe3,Sr,U,Se,2.0,4.0,-2.0,0.95,1.38,2.55,144.48,88.69,198.14,-1.6,-1.17,-2.49,-2.06,1.6290449881610105,0.4476127990309882,0.7291813868981528,0.6425702811244979,0.5679611650485437,-3.5257832000000016,-1.9952727799999996,-6.510488250000024,-1.2811882639810177,-1.9952728484943232,-0.2111875472497096,0.150586057166743,0.546861732757815,-2.730814399751447,5.884929518021573,5.590257855882314,10.84576444731508,195.84,187.98,79.97,254.93,241.76,95.78,111.21,131.23,23.97,0.8294655829139364,0.8446450358812088,4.910570448930896,0.9556001916261504
CaPrS3,Ca,Pr,S,2.0,4.0,-2.0,1.0,1.13,2.58,133.65,84.98,184.4,-1.58,-1.4500000000000002,-2.44,-2.31,1.5727229936455636,0.4608459869848156,0.7247830802603037,0.6475409836065574,0.6277056277056278,-3.766160950000002,-2.320982129999998,-7.00838179000003,-1.9458476867976409,-2.320982209675374,0.8145175879610062,0.1499954621481116,0.1152585549847216,-2.847077729734469,6.309260154585895,5.700078313684422,11.769320157021456,179.84,201.97,74.72999999999999,231.02,271.35,84.92999999999999,67.61,117.98,273.21,0.8129303743135858,0.8348647942096292,5.116448145082737,0.86124633292999
CaPrSe3,Ca,Pr,Se,2.0,4.0,-2.0,1.0,1.13,2.55,133.65,84.98,198.14,-1.5499999999999998,-1.42,-2.44,-2.31,1.5727229936455636,0.4288886645805996,0.6745230644998487,0.6352459016393442,0.6147186147186147,-3.766160950000002,-2.320982129999998,-6.510488250000024,-1.9458476867976409,-2.320982209675374,-0.2111875472497096,0.1499954621481116,0.1152585549847216,-2.730814399751447,6.309260154585895,5.700078313684422,10.84576444731508,179.84,201.97,79.97,231.02,271.35,95.78,67.61,117.98,23.97,0.8204361480967385,0.8286647001669181,5.278133247459767,0.8563362846189246
CaCeSe3,Ca,Ce,Se,2.0,4.0,-2.0,1.0,1.12,2.55,133.65,86.8,198.14,-1.5499999999999998,-1.4299999999999995,-2.44,-2.32,1.539746543778802,0.43807408902796,0.6745230644998487,0.6352459016393442,0.6163793103448275,-3.766160950000002,-2.5303330600000007,-6.510488250000024,-1.9458476867976409,-2.5303331468620374,-0.2111875472497096,0.1499954621481116,0.0869328039854952,-2.730814399751447,6.309260154585895,5.700526061695872,10.84576444731508,179.84,204.28,79.97,231.02,257.54,95.78,67.61,118.68,23.97,0.8121579973357723,0.8233717621648693,5.417487057667142,0.848574130673183
TbSnS3,Sn,Tb,S,2.0,4.0,-2.0,1.96,1.1,2.58,115.87,76.26,184.4,-0.6200000000000001,-1.48,-1.48,-2.34,1.519407290847102,0.4135574837310195,0.6283622559652928,0.4189189189189189,0.6324786324786326,-3.6934392700000016,-3.0839381900000022,-7.00838179000003,-3.693439396789498,-1.3025399247139844,0.8145175879610062,-1.0130803347838755,0.4848213986217848,-2.847077729734469,6.875250052003975,6.119534423052706,11.769320157021456,106.59,29.39,74.72999999999999,135.54,257.89,84.92999999999999,46.940000000000005,112.45,273.21,0.7985805713912991,0.8145610681543638,5.682368137083485,0.5395202692103501
TbSnSe3,Sn,Tb,Se,2.0,4.0,-2.0,1.96,1.1,2.55,115.87,76.26,198.14,-0.5899999999999999,-1.4499999999999995,-1.48,-2.34,1.519407290847102,0.3848793782174221,0.5847885333602504,0.3986486486486486,0.6196581196581196,-3.6934392700000016,-3.0839381900000022,-6.510488250000024,-3.693439396789498,-1.3025399247139844,-0.2111875472497096,-1.0130803347838755,0.4848213986217848,-2.730814399751447,6.875250052003975,6.119534423052706,10.84576444731508,106.59,29.39,79.97,135.54,257.89,95.78,46.940000000000005,112.45,23.97,0.8031242559812898,0.809180611050235,5.862541229136986,0.5205753735395873
PrCdS3,Cd,Pr,S,2.0,4.0,-2.0,1.69,1.13,2.58,131.4,84.98,184.4,-0.8900000000000001,-1.4500000000000002,-1.75,-2.31,1.5462461755707224,0.4608459869848156,0.7125813449023861,0.5085714285714287,0.6277056277056278,-5.657022910000005,-2.320982129999998,-7.00838179000003,-1.1571185497219154,-2.320982209675374,0.8145175879610062,0.9482623915387752,0.1152585549847216,-2.847077729734469,9.27193000127873,5.700078313684422,11.769320157021456,123.55,201.97,74.72999999999999,179.66,271.35,84.92999999999999,51.92,117.98,273.21,0.8366141694945057,0.8289586606238042,5.265558557978689,0.6716280237936864
PrCdSe3,Cd,Pr,Se,2.0,4.0,-2.0,1.69,1.13,2.55,131.4,84.98,198.14,-0.8599999999999999,-1.42,-1.75,-2.31,1.5462461755707224,0.4288886645805996,0.6631674573533866,0.4914285714285714,0.6147186147186147,-5.657022910000005,-2.320982129999998,-6.510488250000024,-1.1571185497219154,-2.320982209675374,-0.2111875472497096,0.9482623915387752,0.1152585549847216,-2.730814399751447,9.27193000127873,5.700078313684422,10.84576444731508,123.55,201.97,79.97,179.66,271.35,95.78,51.92,117.98,23.97,0.8073424987529543,0.823045195132482,5.427243660355719,0.6579724686721081
CeCdSe3,Cd,Ce,Se,2.0,4.0,-2.0,1.69,1.12,2.55,131.4,86.8,198.14,-0.8599999999999999,-1.4299999999999995,-1.75,-2.32,1.5138248847926268,0.43807408902796,0.6631674573533866,0.4914285714285714,0.6163793103448275,-5.657022910000005,-2.5303330600000007,-6.510488250000024,-1.1571185497219154,-2.5303331468620374,-0.2111875472497096,0.9482623915387752,0.0869328039854952,-2.730814399751447,9.27193000127873,5.700526061695872,10.84576444731508,123.55,204.28,79.97,179.66,257.54,95.78,51.92,118.68,23.97,0.833021021060824,0.8177881506489376,5.58460374484949,0.6520083589109933
ScCuSe3,Cu,Sc,Se,3.0,3.0,-2.0,1.9,1.36,2.55,100.25,74.11,198.14,-0.6499999999999999,-1.1899999999999995,-1.54,-2.08,1.3527189313183106,0.3740284647219138,0.5059553850812557,0.422077922077922,0.5721153846153845,-4.608164319999999,-3.2357286599999986,-6.510488250000024,-0.6024405606807606,-3.235728771077069,-0.2111875472497096,-1.5474569751238811,0.2753302914535808,-2.730814399751447,8.147436993683963,6.884657007341072,10.84576444731508,120.22,165.06,79.97,203.02,217.74,95.78,31.9,58.09,23.97,0.8223757743562027,0.7750013734723477,7.106012860750083,0.571756988396057
TbCuS3,Cu,Tb,S,2.0,4.0,-2.0,1.9,1.1,2.58,115.16,76.26,184.4,-0.6800000000000002,-1.48,-1.54,-2.34,1.5100970364542354,0.4135574837310195,0.6245119305856832,0.4415584415584416,0.6324786324786326,-4.608164319999999,-3.0839381900000022,-7.00838179000003,-0.6024405606807606,-1.3025399247139844,0.8145175879610062,-1.5474569751238811,0.4848213986217848,-2.847077729734469,8.147436993683963,6.119534423052706,11.769320157021456,120.22,29.39,74.72999999999999,203.02,257.89,84.92999999999999,31.9,112.45,273.21,0.7958838715472941,0.8126350070813643,5.7455186374125855,0.5673327585415352
TbCuSe3,Cu,Tb,Se,2.0,4.0,-2.0,1.9,1.1,2.55,115.16,76.26,198.14,-0.6499999999999999,-1.4499999999999995,-1.54,-2.34,1.5100970364542354,0.3848793782174221,0.5812052084384779,0.422077922077922,0.6196581196581196,-4.608164319999999,-3.0839381900000022,-6.510488250000024,-0.6024405606807606,-1.3025399247139844,-0.2111875472497096,-1.5474569751238811,0.4848213986217848,-2.730814399751447,8.147436993683963,6.119534423052706,10.84576444731508,120.22,29.39,79.97,203.02,257.89,95.78,31.9,112.45,23.97,0.7970482942486836,0.8073509934143454,5.925691729466086,0.5499242548066365
FeCuS3,Cu,Fe,S,3.0,3.0,-2.0,1.9,1.83,2.58,100.25,64.62,184.4,-0.6800000000000002,-0.75,-1.54,-1.61,1.551377282575054,0.3504338394793926,0.5436550976138829,0.4415584415584416,0.4658385093167702,-4.608164319999999,-4.431945739999999,-7.00838179000003,-0.6024405606807606,-0.812293287884647,0.8145175879610062,-1.5474569751238811,-1.3037382507616442,-2.847077729734469,8.147436993683963,7.470426106445764,11.769320157021456,120.22,133.01,74.72999999999999,203.02,193.65,84.92999999999999,31.9,38.15,273.21,0.8221150324039572,0.8082822756436376,4.451817954930717,0.7661536237009996
FeCuSe3,Cu,Fe,Se,3.0,3.0,-2.0,1.9,1.83,2.55,100.25,64.62,198.14,-0.6499999999999999,-0.7199999999999998,-1.54,-1.61,1.551377282575054,0.3261330372463915,0.5059553850812557,0.422077922077922,0.4472049689440993,-4.608164319999999,-4.431945739999999,-6.510488250000024,-0.6024405606807606,-0.812293287884647,-0.2111875472497096,-1.5474569751238811,-1.3037382507616442,-2.730814399751447,8.147436993683963,7.470426106445764,10.84576444731508,120.22,133.01,79.97,203.02,193.65,95.78,31.9,38.15,23.97,0.8155785409261124,0.8029917945191302,4.664445624382899,0.7578742000038508
MgVS3,Mg,V,S,2.0,4.0,-2.0,1.31,1.63,2.58,88.4,58.44,184.4,-1.27,-0.9500000000000002,-2.13,-1.81,1.512662559890486,0.3169197396963123,0.4793926247288503,0.5962441314553991,0.5248618784530388,-4.705333049999998,-4.348428499999998,-7.00838179000003,-1.3065628048520797,-4.348428649274164,0.8145175879610062,0.500356888176296,-0.78074486180114,-2.847077729734469,7.971349299642951,7.169663669121636,11.769320157021456,135.17999999999998,148.18,74.72999999999999,191.16,205.66,84.92999999999999,561.2099999999999,47.59,273.21,0.7830912942786348,0.7943469602067383,6.465192569818946,0.9023797170384132
MgVSe3,Mg,V,Se,2.0,4.0,-2.0,1.31,1.63,2.55,88.4,58.44,198.14,-1.2399999999999998,-0.92,-2.13,-1.81,1.512662559890486,0.2949429696174422,0.446149187443222,0.5821596244131455,0.5082872928176795,-4.705333049999998,-4.348428499999998,-6.510488250000024,-1.3065628048520797,-4.348428649274164,-0.2111875472497096,0.500356888176296,-0.78074486180114,-2.730814399751447,7.971349299642951,7.169663669121636,10.84576444731508,135.17999999999998,148.18,79.97,191.16,205.66,95.78,561.2099999999999,47.59,23.97,0.7712149771129096,0.7896752960623287,6.7003055061639145,0.9044433733834918
MgRhS3,Mg,Rh,S,2.0,4.0,-2.0,1.31,2.28,2.58,88.4,60.12,184.4,-1.27,-0.3000000000000002,-2.13,-1.16,1.4703925482368598,0.3260303687635574,0.4793926247288503,0.5962441314553991,0.2586206896551726,-4.705333049999998,-3.3722443599999976,-7.00838179000003,-1.3065628048520797,-3.3722444757634187,0.8145175879610062,0.500356888176296,-0.8612050155585504,-2.847077729734469,7.971349299642951,8.367325920243628,11.769320157021456,135.17999999999998,145.95,74.72999999999999,191.16,217.77,84.92999999999999,561.2099999999999,61.38,273.21,0.7547493162763599,0.7888893170971877,6.695112812260959,1.8187664193232804
MgRhSe3,Mg,Rh,Se,2.0,4.0,-2.0,1.31,2.28,2.55,88.4,60.12,198.14,-1.2399999999999998,-0.27,-2.13,-1.16,1.4703925482368598,0.3034218229534672,0.446149187443222,0.5821596244131455,0.2327586206896551,-4.705333049999998,-3.3722443599999976,-6.510488250000024,-1.3065628048520797,-3.3722444757634187,-0.2111875472497096,0.500356888176296,-0.8612050155585504,-2.730814399751447,7.971349299642951,8.367325920243628,10.84576444731508,135.17999999999998,145.95,79.97,191.16,217.77,95.78,561.2099999999999,61.38,23.97,0.7428729991106348,0.7845384010829098,6.923655726432616,1.9622327179927963
MgTiS3,Mg,Ti,S,2.0,4.0,-2.0,1.31,1.54,2.58,88.4,60.28,184.4,-1.27,-1.04,-2.13,-1.9,1.4664897146648972,0.3268980477223427,0.4793926247288503,0.5962441314553991,0.5473684210526316,-4.705333049999998,-4.219539480000003,-7.00838179000003,-1.3065628048520797,-4.219539624849625,0.8145175879610062,0.500356888176296,-0.3138992857783973,-2.847077729734469,7.971349299642951,7.119307230391988,11.769320157021456,135.17999999999998,154.67,74.72999999999999,191.16,206.03,84.92999999999999,561.2099999999999,51.94,273.21,0.7520915074028389,0.7883734502885578,6.719535710284919,0.8587690211025145
MgTiSe3,Mg,Ti,Se,2.0,4.0,-2.0,1.31,1.54,2.55,88.4,60.28,198.14,-1.2399999999999998,-1.0099999999999998,-2.13,-1.9,1.4664897146648972,0.3042293327949935,0.446149187443222,0.5821596244131455,0.5315789473684209,-4.705333049999998,-4.219539480000003,-6.510488250000024,-1.3065628048520797,-4.219539624849625,-0.2111875472497096,0.500356888176296,-0.3138992857783973,-2.730814399751447,7.971349299642951,7.119307230391988,10.84576444731508,135.17999999999998,154.67,79.97,191.16,206.03,95.78,561.2099999999999,51.94,23.97,0.7402151902371136,0.7840526563875563,6.947472007564281,0.8586566533951949
MgRuS3,Mg,Ru,S,2.0,4.0,-2.0,1.31,2.2,2.58,88.4,61.98,184.4,-1.27,-0.3799999999999999,-2.13,-1.2399999999999998,1.426266537592772,0.336117136659436,0.4793926247288503,0.5962441314553991,0.3064516129032257,-4.705333049999998,-3.652617989999997,-7.00838179000003,-1.3065628048520797,-3.6526181153881687,0.8145175879610062,0.500356888176296,-1.199648388181199,-2.847077729734469,7.971349299642951,7.647563452523535,11.769320157021456,135.17999999999998,148.4,74.72999999999999,191.16,212.11,84.92999999999999,561.2099999999999,64.80999999999999,273.21,0.7242801288015315,0.7829337438777675,7.009094945780687,1.5233062266601292
MgRuSe3,Mg,Ru,Se,2.0,4.0,-2.0,1.31,2.2,2.55,88.4,61.98,198.14,-1.2399999999999998,-0.3499999999999996,-2.13,-1.2399999999999998,1.426266537592772,0.3128091248612092,0.446149187443222,0.5821596244131455,0.2822580645161288,-4.705333049999998,-3.652617989999997,-6.510488250000024,-1.3065628048520797,-3.6526181153881687,-0.2111875472497096,0.500356888176296,-1.199648388181199,-2.730814399751447,7.971349299642951,7.647563452523535,10.84576444731508,135.17999999999998,148.4,79.97,191.16,212.11,95.78,561.2099999999999,64.80999999999999,23.97,0.7124038116358062,0.77892852323417,7.230779360107888,1.606546609423019
MgMoS3,Mg,Mo,S,2.0,4.0,-2.0,1.31,2.16,2.58,88.4,65.04,184.4,-1.27,-0.4199999999999999,-2.13,-1.2799999999999998,1.3591635916359164,0.3527114967462039,0.4793926247288503,0.5962441314553991,0.328125,-4.705333049999998,-4.274195439999998,-7.00838179000003,-1.3065628048520797,-4.274195586725868,0.8145175879610062,0.500356888176296,-1.5291146854901538,-2.847077729734469,7.971349299642951,6.943164897341698,11.769320157021456,135.17999999999998,154.49,74.72999999999999,191.16,220.52,84.92999999999999,561.2099999999999,72.79,273.21,0.767773400605901,0.7733291204963292,7.69342964185867,1.4052356564708617
MgMoSe3,Mg,Mo,Se,2.0,4.0,-2.0,1.31,2.16,2.55,88.4,65.04,198.14,-1.2399999999999998,-0.3899999999999997,-2.13,-1.2799999999999998,1.3591635916359164,0.3282527505803977,0.446149187443222,0.5821596244131455,0.3046874999999998,-4.705333049999998,-4.274195439999998,-6.510488250000024,-1.3065628048520797,-4.274195586725868,-0.2111875472497096,0.500356888176296,-1.5291146854901538,-2.730814399751447,7.971349299642951,6.943164897341698,10.84576444731508,135.17999999999998,154.49,79.97,191.16,220.52,95.78,561.2099999999999,72.79,23.97,0.7069795911085636,0.7698719031220924,7.9046842544047955,1.4709771092276225
MgTaS3,Mg,Ta,S,2.0,4.0,-2.0,1.31,1.5,2.58,88.4,68.04,184.4,-1.27,-1.08,-2.13,-1.94,1.299235743680188,0.3689804772234273,0.4793926247288503,0.5962441314553991,0.5567010309278351,-4.705333049999998,-3.5963150900000027,-7.00838179000003,-1.3065628048520797,-3.5963152134553904,0.8145175879610062,0.500356888176296,-0.2825051047029557,-2.847077729734469,7.971349299642951,7.686524689847838,11.769320157021456,135.17999999999998,146.65,74.72999999999999,191.16,204.33,84.92999999999999,561.2099999999999,83.7,273.21,0.8454046638484538,0.7641388679155615,8.636479550257729,0.818416511376439
MgTaSe3,Mg,Ta,Se,2.0,4.0,-2.0,1.31,1.5,2.55,88.4,68.04,198.14,-1.2399999999999998,-1.0499999999999998,-2.13,-1.94,1.299235743680188,0.3433935601090139,0.446149187443222,0.5821596244131455,0.5412371134020618,-4.705333049999998,-3.5963150900000027,-6.510488250000024,-1.3065628048520797,-3.5963152134553904,-0.2111875472497096,0.500356888176296,-0.2825051047029557,-2.730814399751447,7.971349299642951,7.686524689847838,10.84576444731508,135.17999999999998,146.65,79.97,191.16,204.33,95.78,561.2099999999999,83.7,23.97,0.7823545124539016,0.7611950088799769,8.838419585531097,0.818748362781879
MgNbS3,Mg,Nb,S,2.0,4.0,-2.0,1.31,1.6,2.58,88.4,67.89,184.4,-1.27,-0.98,-2.13,-1.84,1.3021063485049345,0.3681670281995661,0.4793926247288503,0.5962441314553991,0.532608695652174,-4.705333049999998,-4.453728150000003,-7.00838179000003,-1.3065628048520797,-4.45372830288892,0.8145175879610062,0.500356888176296,-1.1054994379504737,-2.847077729734469,7.971349299642951,7.135067946929306,11.769320157021456,135.17999999999998,158.34,74.72999999999999,191.16,209.16,84.92999999999999,561.2099999999999,77.56,273.21,0.841570746586626,0.7645931896492303,8.581227505870784,0.8559458491771206
MgNbSe3,Mg,Nb,Se,2.0,4.0,-2.0,1.31,1.6,2.55,88.4,67.89,198.14,-1.2399999999999998,-0.9499999999999996,-2.13,-1.84,1.3021063485049345,0.342636519632583,0.446149187443222,0.5821596244131455,0.5163043478260868,-4.705333049999998,-4.453728150000003,-6.510488250000024,-1.3065628048520797,-4.45372830288892,-0.2111875472497096,0.500356888176296,-1.1054994379504737,-2.730814399751447,7.971349299642951,7.135067946929306,10.84576444731508,135.17999999999998,158.34,79.97,191.16,209.16,95.78,561.2099999999999,77.56,23.97,0.7786334122869346,0.7616242057800711,8.783613718862387,0.8587703424303486
